"period","region","component","route","value","color"
2005,"CAZ","BOF Scrap","BF-BOF",1.6335238974359e-07,"#fe0404"
2005,"CAZ","BOF Scrap","BF-BOF CCS",0,"#fe0404"
2005,"CAZ","CAPEX","BF-BOF",35.782526312275,"#7b7878"
2005,"CAZ","CAPEX","BF-BOF CCS",0,"#7b7878"
2005,"CAZ","CAPEX","DRI-EAF H2",0,"#7b7878"
2005,"CAZ","CAPEX","DRI-EAF NG",0,"#7b7878"
2005,"CAZ","CAPEX","DRI-EAF NG CCS",0,"#7b7878"
2005,"CAZ","CAPEX","Scrap EAF",10.7290006754886,"#7b7878"
2005,"CAZ","DRI Pellets","DRI-EAF H2",0,"#7d2222"
2005,"CAZ","DRI Pellets","DRI-EAF NG",0,"#7d2222"
2005,"CAZ","DRI Pellets","DRI-EAF NG CCS",0,"#7d2222"
2005,"CAZ","EAF Scrap","Scrap EAF",79.9761451794872,"#a45353"
2005,"CAZ","Electricity","BF-BOF",NA,"#d7cb1b"
2005,"CAZ","Electricity","BF-BOF CCS",NA,"#d7cb1b"
2005,"CAZ","Electricity","DRI-EAF H2",NA,"#d7cb1b"
2005,"CAZ","Electricity","DRI-EAF NG",NA,"#d7cb1b"
2005,"CAZ","Electricity","DRI-EAF NG CCS",NA,"#d7cb1b"
2005,"CAZ","Electricity","Scrap EAF",NA,"#d7cb1b"
2005,"CAZ","Hydrogen","DRI-EAF H2",NA,"#33efef"
2005,"CAZ","Iron Ore","BF-BOF",114.130541444431,"#7e433d"
2005,"CAZ","Iron Ore","BF-BOF CCS",0,"#7e433d"
2005,"CAZ","Liquids","BF-BOF",NA,"#11522b"
2005,"CAZ","Liquids","BF-BOF CCS",NA,"#11522b"
2005,"CAZ","Non-H2 Gases","BF-BOF",NA,"#85b3dd"
2005,"CAZ","Non-H2 Gases","BF-BOF CCS",NA,"#85b3dd"
2005,"CAZ","Non-H2 Gases","DRI-EAF NG",NA,"#85b3dd"
2005,"CAZ","Non-H2 Gases","DRI-EAF NG CCS",NA,"#85b3dd"
2005,"CAZ","OPEX","BF-BOF",37.4879481452308,"#cccccc"
2005,"CAZ","OPEX","BF-BOF CCS",0,"#cccccc"
2005,"CAZ","OPEX","DRI-EAF H2",0,"#cccccc"
2005,"CAZ","OPEX","DRI-EAF NG",0,"#cccccc"
2005,"CAZ","OPEX","DRI-EAF NG CCS",0,"#cccccc"
2005,"CAZ","OPEX","Scrap EAF",8.37372953846154,"#cccccc"
2005,"CAZ","Solids","BF-BOF",NA,"#76512c"
2005,"CAZ","Solids","BF-BOF CCS",NA,"#76512c"
2005,"CHA","BOF Scrap","BF-BOF",2.04796237261911e-07,"#fe0404"
2005,"CHA","BOF Scrap","BF-BOF CCS",0,"#fe0404"
2005,"CHA","CAPEX","BF-BOF",44.8608481331803,"#7b7878"
2005,"CHA","CAPEX","BF-BOF CCS",0,"#7b7878"
2005,"CHA","CAPEX","DRI-EAF H2",0,"#7b7878"
2005,"CHA","CAPEX","DRI-EAF NG",0,"#7b7878"
2005,"CHA","CAPEX","DRI-EAF NG CCS",0,"#7b7878"
2005,"CHA","CAPEX","Scrap EAF",4.66882281804253,"#7b7878"
2005,"CHA","DRI Pellets","DRI-EAF H2",0,"#7d2222"
2005,"CHA","DRI Pellets","DRI-EAF NG",0,"#7d2222"
2005,"CHA","DRI Pellets","DRI-EAF NG CCS",0,"#7d2222"
2005,"CHA","EAF Scrap","Scrap EAF",34.8023513845169,"#a45353"
2005,"CHA","Electricity","BF-BOF",NA,"#d7cb1b"
2005,"CHA","Electricity","BF-BOF CCS",NA,"#d7cb1b"
2005,"CHA","Electricity","DRI-EAF H2",NA,"#d7cb1b"
2005,"CHA","Electricity","DRI-EAF NG",NA,"#d7cb1b"
2005,"CHA","Electricity","DRI-EAF NG CCS",NA,"#d7cb1b"
2005,"CHA","Electricity","Scrap EAF",NA,"#d7cb1b"
2005,"CHA","Hydrogen","DRI-EAF H2",NA,"#33efef"
2005,"CHA","Iron Ore","BF-BOF",143.086400395934,"#7e433d"
2005,"CHA","Iron Ore","BF-BOF CCS",0,"#7e433d"
2005,"CHA","Liquids","BF-BOF",NA,"#11522b"
2005,"CHA","Liquids","BF-BOF CCS",NA,"#11522b"
2005,"CHA","Non-H2 Gases","BF-BOF",NA,"#85b3dd"
2005,"CHA","Non-H2 Gases","BF-BOF CCS",NA,"#85b3dd"
2005,"CHA","Non-H2 Gases","DRI-EAF NG",NA,"#85b3dd"
2005,"CHA","Non-H2 Gases","DRI-EAF NG CCS",NA,"#85b3dd"
2005,"CHA","OPEX","BF-BOF",46.998949540095,"#cccccc"
2005,"CHA","OPEX","BF-BOF CCS",0,"#cccccc"
2005,"CHA","OPEX","DRI-EAF H2",0,"#cccccc"
2005,"CHA","OPEX","DRI-EAF NG",0,"#cccccc"
2005,"CHA","OPEX","DRI-EAF NG CCS",0,"#cccccc"
2005,"CHA","OPEX","Scrap EAF",3.64390503121165,"#cccccc"
2005,"CHA","Solids","BF-BOF",NA,"#76512c"
2005,"CHA","Solids","BF-BOF CCS",NA,"#76512c"
2005,"EUR","BOF Scrap","BF-BOF",1.46315045708481e-07,"#fe0404"
2005,"EUR","BOF Scrap","BF-BOF CCS",0,"#fe0404"
2005,"EUR","CAPEX","BF-BOF",32.0504767708849,"#7b7878"
2005,"EUR","CAPEX","BF-BOF CCS",0,"#7b7878"
2005,"EUR","CAPEX","DRI-EAF H2",0,"#7b7878"
2005,"EUR","CAPEX","DRI-EAF NG",0,"#7b7878"
2005,"EUR","CAPEX","DRI-EAF NG CCS",0,"#7b7878"
2005,"EUR","CAPEX","Scrap EAF",13.2203073773002,"#7b7878"
2005,"EUR","DRI Pellets","DRI-EAF H2",0,"#7d2222"
2005,"EUR","DRI Pellets","DRI-EAF NG",0,"#7d2222"
2005,"EUR","DRI Pellets","DRI-EAF NG CCS",0,"#7d2222"
2005,"EUR","EAF Scrap","Scrap EAF",98.5468501777552,"#a45353"
2005,"EUR","Electricity","BF-BOF",NA,"#d7cb1b"
2005,"EUR","Electricity","BF-BOF CCS",NA,"#d7cb1b"
2005,"EUR","Electricity","DRI-EAF H2",NA,"#d7cb1b"
2005,"EUR","Electricity","DRI-EAF NG",NA,"#d7cb1b"
2005,"EUR","Electricity","DRI-EAF NG CCS",NA,"#d7cb1b"
2005,"EUR","Electricity","Scrap EAF",NA,"#d7cb1b"
2005,"EUR","Hydrogen","DRI-EAF H2",NA,"#33efef"
2005,"EUR","Iron Ore","BF-BOF",102.226942711935,"#7e433d"
2005,"EUR","Iron Ore","BF-BOF CCS",0,"#7e433d"
2005,"EUR","Liquids","BF-BOF",NA,"#11522b"
2005,"EUR","Liquids","BF-BOF CCS",NA,"#11522b"
2005,"EUR","Non-H2 Gases","BF-BOF",NA,"#85b3dd"
2005,"EUR","Non-H2 Gases","BF-BOF CCS",NA,"#85b3dd"
2005,"EUR","Non-H2 Gases","DRI-EAF NG",NA,"#85b3dd"
2005,"EUR","Non-H2 Gases","DRI-EAF NG CCS",NA,"#85b3dd"
2005,"EUR","OPEX","BF-BOF",33.578026345353,"#cccccc"
2005,"EUR","OPEX","BF-BOF CCS",0,"#cccccc"
2005,"EUR","OPEX","DRI-EAF H2",0,"#cccccc"
2005,"EUR","OPEX","DRI-EAF NG",0,"#cccccc"
2005,"EUR","OPEX","DRI-EAF NG CCS",0,"#cccccc"
2005,"EUR","OPEX","Scrap EAF",10.3181350939563,"#cccccc"
2005,"EUR","Solids","BF-BOF",NA,"#76512c"
2005,"EUR","Solids","BF-BOF CCS",NA,"#76512c"
2005,"IND","BOF Scrap","BF-BOF",1.67744844910441e-07,"#fe0404"
2005,"IND","BOF Scrap","BF-BOF CCS",0,"#fe0404"
2005,"IND","CAPEX","BF-BOF",36.7446986002352,"#7b7878"
2005,"IND","CAPEX","BF-BOF CCS",0,"#7b7878"
2005,"IND","CAPEX","DRI-EAF H2",0,"#7b7878"
2005,"IND","CAPEX","DRI-EAF NG",0,"#7b7878"
2005,"IND","CAPEX","DRI-EAF NG CCS",0,"#7b7878"
2005,"IND","CAPEX","Scrap EAF",10.0867084865162,"#7b7878"
2005,"IND","DRI Pellets","DRI-EAF H2",0,"#7d2222"
